,tot_price
0,12650.0
1,16520.0
2,11030.0
3,16945.0
4,17445.0
5,13930.0
6,13280.0
7,11770.0
8,10220.0
9,12030.0
10,16245.0
11,16625.0
12,17145.0
13,16430.0
14,15430.0
15,14645.0
16,15845.0
17,13930.0
18,19200.0
19,17145.0
20,17445.0
21,20400.0
22,22645.0
23,17650.0
24,20200.0
25,18645.0
26,19645.0
27,15945.0
28,17345.0
29,14030.0
30,9500.0
31,16625.0
32,15205.0
33,16150.0
34,17050.0
35,12500.0
36,10945.0
37,19525.0
38,16145.0
39,17245.0
40,11320.0
41,17360.0
42,20445.0
43,13325.0
44,15345.0
45,15845.0
46,16745.0
47,14545.0
48,20345.0
49,23845.0
50,12750.0
51,13020.0
52,16045.0
53,15030.0
54,14905.0
55,15200.0
56,16020.0
57,11125.0
58,10200.0
59,18530.0
60,7000.0
61,10620.0
62,16030.0
63,15125.0
64,14150.0
65,19100.0
66,10220.0
67,11850.0
68,11625.0
69,10800.0
70,12530.0
71,16630.0
72,13245.0
73,8320.0
74,16145.0
75,17045.0
76,19800.0
77,21945.0
78,16345.0
79,18845.0
80,16130.0
81,11300.0
82,14120.0
83,16725.0
84,11330.0
85,15725.0
86,10125.0
87,14530.0
88,16245.0
89,10630.0
90,25644.0
91,25644.0
92,15625.0
93,16360.0
94,14030.0
95,17330.0
96,10600.0
97,17645.0
98,15145.0
99,25644.0
100,25145.0
101,31145.0
102,28145.0
103,28145.0
104,21644.0
105,26145.0
106,30235.0
107,17145.0
108,14645.0
109,17660.0
110,10500.0
111,14945.0
112,12030.0
113,22145.0
114,18000.0
115,19830.0
116,19735.0
117,9800.0
118,15530.0
119,16945.0
120,11520.0
121,12245.0
122,12700.0
123,11825.0
124,11645.0
125,17545.0
126,16030.0
127,13225.0
128,14730.0
129,21245.0
130,24545.0
131,18895.0
132,16660.0
133,11150.0
134,13550.0
135,20150.0
136,15420.0
137,15660.0
138,14945.0
139,17130.0
140,25895.0
141,11750.0
142,11200.0
143,12830.0
144,16145.0
145,20145.0
146,11970.0
147,9430.0
148,20030.0
149,13330.0
150,18520.0
151,8300.0
152,13530.0
153,19950.0
154,15545.0
155,14045.0
156,15745.0
157,16230.0
158,10600.0
159,14320.0
160,14730.0
161,19245.0
162,18245.0
163,11400.0
164,11620.0
165,17445.0
166,16430.0
167,17335.0
168,11623.0
169,11858.0
170,19258.0
171,25643.0
172,10643.0
173,9643.0
174,20158.0
175,16923.0
176,24143.0
177,37143.0
178,14158.0
179,16140.0
180,13645.0
181,31130.0
182,29630.0
183,17015.0
184,26635.0
185,24135.0
186,12505.0
187,22690.0
188,16528.0
189,11998.0
190,25185.0
191,18130.0
192,20515.0
193,17130.0
194,31130.0
195,30130.0
196,28130.0
197,31130.0
198,63130.0
199,45310.0
200,29130.0
201,25130.0
202,27130.0
203,40130.0
204,22130.0
205,45630.0
206,34130.0
207,29130.0
208,30130.0
209,29130.0
210,32130.0
211,32130.0
212,29630.0
213,18130.0
214,21130.0
215,23830.0
216,28130.0
217,28130.0
218,37130.0
219,38130.0
220,38130.0
221,50130.0
222,60140.0
223,48040.0
224,32130.0
225,30185.0
226,12515.0
227,25130.0
228,22245.0
229,35130.0
230,30130.0
231,34630.0
232,19830.0
233,35130.0
234,44030.0
235,36040.0
236,27130.0
237,47130.0
238,24130.0
239,29130.0
240,28130.0
241,29130.0
242,30130.0
243,22140.0
244,32130.0
245,32630.0
246,21430.0
247,57130.0
248,43930.0
249,18658.0
250,15155.0
251,18028.0
252,11015.0
253,13015.0
254,11495.0
255,18500.0
256,19158.0
257,18630.0
258,39130.0
259,29630.0
260,23143.0
261,19203.0
262,17843.0
263,28140.0
264,32130.0
265,31140.0
266,19028.0
267,17140.0
268,20145.0
269,14645.0
270,13123.0
271,32630.0
272,20630.0
273,34630.0
274,18843.0
275,16233.0
276,16648.0
277,32143.0
278,36130.0
279,38130.0
280,32143.0
281,19143.0
282,19630.0
283,20155.0
284,48295.0
285,23630.0
286,24143.0
287,18123.0
288,29130.0
289,46325.0
290,27140.0
291,34130.0
292,31130.0
293,53130.0
294,12848.0
295,17423.0
296,16623.0
297,16943.0
298,16233.0
299,64130.0
300,28130.0
301,19630.0
302,21130.0
303,22430.0
304,14700.0
305,25200.0
306,15925.0
307,13625.0
308,12165.0
309,13925.0
310,11000.0
311,20145.0
312,11650.0
313,11870.0
314,12820.0
315,16230.0
316,83140.0
317,26135.0
318,31140.0
319,35130.0
320,32140.0
321,30130.0
322,28630.0
323,21698.0
324,33040.0
325,23258.0
326,36143.0
327,30185.0
328,16685.0
329,19515.0
330,13525.0
331,15015.0
332,40140.0
333,23230.0
334,12525.0
335,25130.0
336,24630.0
337,16610.0
338,20645.0
339,25130.0
340,20140.0
341,16260.0
342,15198.0
343,14015.0
344,28135.0
345,11995.0
346,16145.0
347,36145.0
348,13615.0
349,32130.0
350,33130.0
351,31130.0
352,34943.0
353,40925.0
354,35200.0
355,19025.0
356,12995.0
357,14525.0
358,12995.0
359,25145.0
360,21130.0
361,32235.0
362,14025.0
363,32130.0
364,29635.0
365,20645.0
366,22200.0
367,25145.0
368,24145.0
369,23145.0
370,16015.0
371,20140.0
372,27560.0
373,50145.0
374,11995.0
375,12120.0
376,37476.0
377,39599.0
378,37652.0
379,33607.0
380,31140.0
381,26135.0
382,39140.0
383,32200.0
384,31145.0
385,19140.0
386,42140.0
387,20025.0
388,17015.0
389,14640.0
390,20140.0
391,24140.0
392,14015.0
393,28145.0
394,34145.0
395,17635.0
396,15020.0
397,31230.0
398,14015.0
399,48140.0
400,22140.0
401,20140.0
402,27140.0
403,16140.0
404,19150.0
405,36140.0
406,28140.0
407,24140.0
408,31410.0
409,36457.0
410,14140.0
411,32230.0
412,18640.0
413,33635.0
414,20195.0
415,18140.0
416,32195.0
417,24140.0
418,21140.0
419,25140.0
420,13140.0
421,15145.0
422,12520.0
423,14318.0
424,11528.0
425,12028.0
426,20143.0
427,28140.0
428,20025.0
429,20155.0
430,20140.0
431,14025.0
432,30140.0
433,20135.0
434,20135.0
435,15140.0
436,37135.0
437,25195.0
438,11520.0
439,18525.0
440,47135.0
441,24140.0
442,28135.0
443,37135.0
444,19140.0
445,13135.0
446,18195.0
447,16658.0
448,32143.0
449,37140.0
450,37140.0
451,58320.0
452,23035.0
453,17015.0
454,33443.0
455,16015.0
456,21140.0
457,15025.0
458,20140.0
459,40140.0
460,23140.0
461,25140.0
462,40140.0
463,20140.0
464,13025.0
465,22808.0
466,24513.0
467,19525.0
468,20135.0
469,21640.0
470,29140.0
471,27135.0
472,28140.0
473,26140.0
474,20140.0
475,38679.0
476,42140.0
477,20135.0
478,18640.0
479,34230.0
480,19140.0
